Oil_Price
""
26.53
25.08
21.33
20.87
""
17.42
16.78
""
14.68
11.98
""
12.94
13.28
12.2
10.25
14.39
""
12.94
12.48
13.34
14.32
15.75
""
17.13
""
13.8
12.61
13.65
""
14.05
12.8
11.18
11.23
13.07
""
11.09
14.0
14.92
15.58
15.48
""
""
15.63
14.31
13.94
14.93
""
14.83
""
15.17
14.4
14.7
""
15.3
15.62
14.98
15.29
15.01
""
16.38
16.95
17.65
17.98
19.0
""
18.7
18.63
18.59
18.37
""
""
17.15
16.43
18.13
18.61
18.6
""
18.67
18.71
18.07
18.66
18.83
""
18.93
19.43
19.91
""
19.55
""
19.94
20.07
20.49
20.38
20.92
""
21.38
22.23
20.5
22.21
20.7
""
19.85
19.18
19.76
19.34
19.64
""
19.77
19.48
19.81
19.67
19.79
""
20.0
19.64
18.66
18.69
19.31
""
18.52
18.3
17.47
15.12
16.46
""
17.77
16.63
17.28
17.11
16.83
""
17.7
16.84
16.64
15.98
15.35
""
15.57
16.52
17.05
16.99
17.87
""
18.5
18.36
17.12
17.56
17.7
""
17.01
17.45
17.28
16.43
16.02
""
15.86
""
14.56
15.84
16.09
""
16.07
15.84
15.59
15.75
15.24
""
14.79
14.48
14.72
14.16
13.03
""
13.59
15.16
12.94
13.54
14.08
""
14.25
13.73
14.93
15.36
16.08
""
16.24
""
""
17.74
18.88
""
17.66
17.32
17.38
17.61
18.6
""
18.16
18.73
19.05
19.53
20.55
""
20.03
20.65
21.23
20.64
20.66
""
19.41
20.53
20.92
19.55
20.5
""
19.3
20.88
20.28
20.55
20.38
""
20.49
18.76
18.33
17.91
18.6
""
19.1
18.69
18.88
19.77
19.87
""
19.49
19.99
20.04
20.64
19.67
""
19.74
20.06
19.62
20.13
19.65
""
20.24
20.69
22.2
""
""
""
21.64
22.36
22.57
22.79
22.44
""
22.02
22.46
21.81
21.62
20.26
""
19.6
20.48
20.51
18.32
17.87
""
18.6
18.5
18.3
19.73
18.26
""
""
17.09
16.82
15.92
16.15
""
16.94
16.63
18.67
19.88
20.24
""
28.73
27.07
28.63
27.36
27.45
""
30.83
33.73
39.05
37.08
38.88
""
38.0
28.46
35.28
32.05
32.08
""
31.45
33.28
29.4
27.08
27.1
""
